type,text,optionA,optionB,optionC,optionD,correctAnswer,tolerance,topic,marks,difficulty,explanation,imageUrl
mcq,"The needlework tools in Figure 1 are used to ...",hold pieces of fabric together.,hold pins and needles.,make holes in fabric.,put markings from paper patterns.,A,,Needlework,1,easy,"Figure 1 shows cotton reels/thread, which is used to stitch and hold pieces of fabric together. Refers to Figure 1 — attach the image in the editor.",
mcq,"Which group in the food pyramid contains protective foods?",4,3,2,1,B,,Food & Nutrition,1,medium,"Protective foods (fruits and vegetables) sit in the band above the carbohydrate base. Refers to a pyramid diagram — attach the image in the editor. [REVIEW: verify against official marking key]",
mcq,"Which of the following groups of items are required to carry out tie and dye?","Colour, soap, rubber band, water.","Colour, soda, rubber band, water.","Colour, water, string, salt.","Colour, water, string, soap.",B,,Crafts,1,easy,"Tie and dye uses dye (colour), soda as a fixer, rubber bands to tie, and water.",
mcq,"The item shown in Figure 2 is used for ...",cleaning.,decorations.,laundry.,shopping.,C,,Laundry,1,easy,"Figure 2 shows a laundry basket. Refers to Figure 2 — attach the image in the editor.",
mcq,"Which of the following services is not provided in hospitality business?",Gym,Housekeeping,Mobile communication,Television,C,,Hospitality,1,easy,"Mobile communication is a telecommunications service, not a hospitality service.",
mcq,"The reason for preserving food is to ...",prevent decay.,make it look attractive.,make it less expensive.,increase nutrients.,A,,Food Preservation,1,easy,"Food is preserved mainly to stop it from decaying/spoiling.",
mcq,"A blender is a kitchen equipment used to ...",cook food quicker.,crush ingredients.,heat or boil liquids.,reheat or cook food.,B,,Kitchen Equipment,1,easy,"A blender crushes, blends and mixes ingredients.",
mcq,"The craft work tools drawn below are used for ...",threading.,sewing.,knitting.,crocheting.,D,,Crafts,1,easy,"The tools drawn are crochet hooks, used for crocheting. Refers to a figure — attach the image in the editor.",
mcq,"Which of the following is not a way of caring for the skin?",Bathing everyday,Eat balanced diet,Drink plenty of water,Use skin bleach creams,D,,Personal Hygiene,1,easy,"Skin bleach creams damage the skin and are not a way of caring for it.",
mcq,"Which scissors is used to neaten the raw edge labelled A?",Embroidery scissors,Pinking shears,Sewing scissors,Trimming shears,B,,Needlework,1,easy,"Pinking shears cut a zigzag edge that neatens a raw edge and reduces fraying. Refers to a figure — attach the image in the editor.",
mcq,"The main reason to leave openings in clothes is to ...",allow easy wearing.,allow fresh air.,launder clothes easily.,make clothes strong.,A,,Clothing Construction,1,easy,"Openings (e.g. plackets, necklines) make it easy to put on and take off clothes.",
mcq,"The reason for putting a plastic bag inside a kitchen bin is to make it ...",easy to clean.,fast to be filled up.,last long.,look decorative.,A,,Kitchen Hygiene,1,easy,"A liner keeps the bin clean and makes emptying and cleaning easier.",
mcq,"Which of the following is not a reason to have a kitchen garden?",Creates extra work at home.,It can be a source of income.,It saves money.,Provides variety of vegetables.,A,,Kitchen Garden,1,easy,"Extra work is a disadvantage, not a reason to have a kitchen garden.",
mcq,"Which of the tools listed below are used for sewing together plaited items?",Darning needles,Pins,Scissors,Sisal fibre,A,,Crafts,1,medium,"A darning (packing) needle is used to stitch plaited items such as mats and baskets together.",
mcq,"Knives and other ... objects in the home should be stored properly in order to prevent accidents.",scoops,sharp,sieves,spoons,B,,Home Safety,1,easy,"Sharp objects must be stored safely to prevent cuts and accidents.",
mcq,"Which method of purification allows water to settle then pour out clean water for using?",Boiling,Chlorination,Decanting,Filtration,C,,Water Purification,1,easy,"Decanting lets sediment settle, then the clear water is poured off.",
mcq,"What step should come first in the weekly cleaning of the bedroom?",Empty the wardrobe,Open the windows,Sweep the ceiling,Tidy up the room,B,,Cleaning,1,easy,"Windows are opened first to let in fresh air and light before cleaning.",
mcq,"The most commonly used raising agents in flour mixtures are ...",baking powder and butter.,baking powder and custard.,baking powder and salt.,baking powder and yeast.,D,,Baking,1,easy,"Baking powder and yeast are the common raising agents in flour mixtures.",
mcq,"Measuring uses cups while weighing uses ...",springs.,spoons.,scales.,jugs.,C,,Measuring,1,easy,"Weighing is done using scales/balances.",
mcq,"A ... is used for measuring small quantities of liquids or solids.",beam-balance scale,measuring jug,measuring spoon,spring balance,C,,Measuring,1,easy,"A measuring spoon measures small quantities of liquids or solids.",
mcq,"The two basic stitches used in knitting are knit and ...",garter.,purl.,single.,slip.,B,,Knitting,1,easy,"The two basic knitting stitches are knit and purl.",
mcq,"Personal hygiene is important during puberty in order to keep the body ...",clear and shiny.,fresh and clean.,oily and dry.,shiny and moisturised.,B,,Puberty,1,easy,"Good personal hygiene keeps the body fresh and clean during puberty.",
mcq,"Which laundry symbol shows 'wash'?",P,Q,R,S,A,,Laundry,1,easy,"Symbol P (the plain wash tub) is the wash symbol. Refers to a figure — attach the image in the editor.",
mcq,"The mixture of yellow and red primary colours would give a ... secondary colour.",blue,green,orange,red,C,,Colour,1,easy,"Yellow mixed with red produces orange, a secondary colour.",
mcq,"How many rounded/heaped table spoons of flour make 100 grams?",1,2,3,4,D,,Measuring,1,medium,"About four rounded/heaped tablespoons of flour weigh roughly 100 grams.",
mcq,"Identify the needlework tool in Figure 3.",Bobbin winder,Hem marker,Pin cushion,Seam ripper,C,,Needlework,1,easy,"Figure 3 shows a pin cushion holding pins. Refers to Figure 3 — attach the image in the editor.",
mcq,"... are known to keep off bad smells in the pit latrines.",Ashes,Bleaches,Detergents,Soaps,A,,Sanitation,1,easy,"Wood ash is traditionally added to pit latrines to reduce bad smells.",
mcq,"... needs are considered to satisfy customers in business.",Rural,Overseas,Town,Local,D,,Business,1,medium,"Local customer needs are considered in order to satisfy customers.",
mcq,"Identify the part of the skin which consists of pores.",Epidermis,Dermis,Hair follicles,Hair shaft,A,,Skin,1,medium,"The pores (sweat pore openings) are found on the epidermis, the outer layer.",
mcq,"The diagrams in Figure 4 show ways of arranging fullness. These are ...",tacks and gathers.,inverted and knife pleats.,gathers and elastic.,box and knife pleats.,D,,Clothing Construction,1,medium,"Figure 4 shows pleats used to arrange fullness. Refers to Figure 4 — attach the image in the editor. [REVIEW: verify against official marking key]",
mcq,"Which of the laundry symbols in Table 1 is correctly paired with its meaning?",Circle paired with Bleach,Washtub with two dots paired with Hand wash,Triangle paired with Dry clean,Washtub with one dot paired with Cold wash,D,,Laundry,1,medium,"A washtub with a single dot indicates a cold/low-temperature wash. Refers to Table 1 — attach the image in the editor.",
mcq,"Boiling, steaming and ... are moist methods of cooking.",baking,roasting,stewing,toasting,C,,Cooking Methods,1,easy,"Stewing uses liquid, so it is a moist method of cooking like boiling and steaming.",
mcq,"Grade 6 learners bought 2kg of flour at K75.00 and baked two cakes which were sold at K100.00 each. How much profit did they make?",K100.00,K125.00,K150.00,K175.00,B,,Consumer Mathematics,1,medium,"Revenue = 2 x K100 = K200; profit = K200 - K75 = K125.",
mcq,"The period of change from childhood to adulthood is called ... also known as ...","adolescence, adulthood","adolescence, menopause","adolescence, motherhood","adolescence, puberty",D,,Puberty,1,easy,"Adolescence, also known as puberty, is the change from childhood to adulthood.",
mcq,"Which of the following is a correct list of equipment found in a traditional kitchen?","Cupboards, brazier, sinks.","Fridge, table, modern stove.","Stools, brazier, small cupboards.","Winnowing basket, sinks, fridge.",C,,Kitchen Equipment,1,easy,"Stools, a brazier and small cupboards are equipment found in a traditional kitchen.",
mcq,"... is one of the changes experienced by both boys and girls during puberty.",Breasts enlarging,Hair on pubic area,Having wet dreams,Menstrual flow,B,,Puberty,1,easy,"Growth of pubic hair occurs in both boys and girls; the others are sex-specific.",
mcq,"Having ... during meal preparation is important to avoid serving undercooked meals.",a time plan,a packet of salt,bunch of ingredients,enough water,A,,Meal Planning,1,easy,"A time plan ensures food is cooked for long enough and not served undercooked.",
mcq,"Which of these is a common raising agent used for baking bread?",Baking powder,Bicarbonate of soda,Eggs,Yeast,D,,Baking,1,easy,"Yeast is the common raising agent used for baking bread.",
mcq,"Which one is a common tool used in knitting?",Knitting needles,Paper patterns,Pairs of scissors,Tape measure,A,,Knitting,1,easy,"Knitting needles are the common tool used in knitting.",
mcq,"Laundry starch can be obtained from ...",wheat.,meat.,fish.,cabbage.,A,,Laundry,1,easy,"Laundry starch is obtained from starchy plants such as wheat, maize and cassava.",
mcq,"Which one is not correct when setting a table?",Cutlery and dishes used are clean.,Flower arrangement used should be high.,Table linen like table cloths are clean.,Table mats used are heat resistant.,B,,Table Setting,1,easy,"Flower arrangements should be low so guests can see across the table.",
mcq,"Which statement is true about the dangers of cockroaches?",Damage household items.,Feed on blood.,Leave marks on the skin.,Spread germs on food.,D,,Pest Control,1,easy,"Cockroaches contaminate food by spreading germs.",
mcq,"Which of the dishes cannot be made from left over rice?",Fritters,Maheu,Salads,Samoosas,C,,Cooking,1,medium,"Fritters, maheu and samoosas can use leftover rice; salads cannot.",
mcq,"The cooking equipment includes cooker, toaster, microwave and ...",brazier.,cupboard.,grater.,sieve.,A,,Kitchen Equipment,1,easy,"A brazier is cooking equipment; the others are storage or preparation tools.",
mcq,"Identify the stitch shown in Figure 5.",Blanket stitch,Chain stitch,Hemming stitch,Running stitch,B,,Needlework,1,easy,"Figure 5 shows linked loops, which is the chain stitch. Refers to Figure 5 — attach the image in the editor.",
mcq,"The main reason fresh air should circulate in the room is for ...",breathing in carbon dioxide.,good health.,increasing odour.,removal of fresh air.,B,,Ventilation,1,easy,"Fresh air circulation supplies oxygen and removes stale air, promoting good health.",
mcq,"The term 'Human Development' refers to ... of a person.",confidence,complexion,growth,uniqueness,C,,Human Development,1,easy,"Human development refers to the growth and development of a person.",
mcq,"The effect of light colours in a room makes it ...",darker.,decorative.,smaller.,spacious.,D,,Interior Design,1,easy,"Light colours reflect light and make a room appear more spacious.",
mcq,"Bertha was asked to prepare sausages for HIV person. Describe the methods of cooking she would use.",Stewing and frying,Roasting and boiling,Grilling and deep fry,Frying and grilling,B,,Cooking & Nutrition,1,medium,"Roasting and boiling cook food thoroughly and are healthier, lower-fat methods suitable for a person living with HIV. [REVIEW: verify against official marking key]",
mcq,"... are types of food suitable for garnishing dishes.",Cabbage and bread,Onions and rice,Potatoes and beans,Tomatoes and cucumbers,D,,Food Presentation,1,easy,"Tomatoes and cucumbers are colourful and used to garnish dishes.",
