type,text,optionA,optionB,optionC,optionD,correctAnswer,tolerance,topic,marks,difficulty,explanation,imageUrl
mcq,"What word must be put in the box to complete the pattern? INTEND – TEND; FASTEN – FAST; HUMANE – MANE; CARTOON – ?",CART,CURT,NOON,TONE,A,,Word Patterns,1,medium,"Each pair hides a shorter real word made of consecutive letters of the first word: inTEND, FASTen, huMANE. CARTOON contains CART.",
mcq,"What word must be put in the box to complete the pattern? DAN – NAD; STAB – BATS; FLOW – WOLF; SLEEP – ?",SPELL,SLOPE,PEELS,PEALS,C,,Word Patterns,1,easy,"Each word is reversed: DAN→NAD, STAB→BATS, FLOW→WOLF. SLEEP reversed is PEELS.",
mcq,"Which word must be put in the box to complete the pattern? SAVE – VASE; RULE – LURE; GAPE – ?",CAPE,GAVE,PAGE,PAVE,C,,Word Patterns,1,medium,"The 4-letter word is re-ordered to positions 3-2-1-4: SAVE→VASE, RULE→LURE. GAPE→PAGE.",
mcq,"Which of the following words completes the pattern? TRAIL – LIAR; BOTTOM – MOTTO; BREED – DEER; TREES – ?",SEER,SERTS,SETS,STORE,A,,Word Patterns,1,medium,"Drop the first letter and reverse the rest: TRAIL→(RAIL)→LIAR, BREED→(REED)→DEER. TREES→(REES)→SEER.",
mcq,"What number should be put in the box to complete the series? 987, 876, 765, ?",654,664,754,764,A,,Number Series,1,easy,"Each term decreases: 987, 876, 765, 654 — every digit drops by one.",
mcq,"What comes NEXT in the series? 47, 56, 65, ?",72,74,75,83,B,,Number Series,1,easy,"Each term increases by 9: 47, 56, 65, 74.",
mcq,"In a friendly football match between Ndake and Nyaka, Ndake School was leading by 3 goals to 2. Nyaka School was however awarded a penalty and the match ended. What were the scores for the match?",3:2,3:3,4:2,4:3,B,,Logical Reasoning,1,medium,"Nyaka was 2 and scored the penalty, equalising at 3:3.",
mcq,"Which letters must be put in the box to complete the series? AZO, BYP, CXQ, ?, EVS",DWR,DRW,WDR,WRD,A,,Letter Series,1,medium,"1st letters A,B,C,D,E; 2nd letters Z,Y,X,W,V; 3rd letters O,P,Q,R,S — so the missing group is DWR.",
mcq,"CHICKEN is to CHICK as PIG is to ...",CALF,KID,PIGLET,PUPPY,C,,Analogies,1,easy,"The young of a chicken is a chick; the young of a pig is a piglet.",
mcq,"Lunch ALWAYS has ...",cutlery.,dessert.,meal.,snack.,C,,Always Has,1,easy,"Lunch is by definition a meal; cutlery, dessert and snacks are not essential to it.",
mcq,"Three of the following are ALIKE in some way, which one is DIFFERENT?",BREAD,CASSAVA,MAIZE,MILLET,A,,Classification,1,medium,"Cassava, maize and millet are raw crops; bread is a processed product.",
mcq,"If SPINDLE is 1234567 then SLIDE is ...",12345.,16357.,16375.,34567.,B,,Coding,1,medium,"S=1, P=2, I=3, N=4, D=5, L=6, E=7. SLIDE = S(1) L(6) I(3) D(5) E(7) = 16357.",
mcq,"COMBINE is to SEPARATE as DESTROY is to ...",CREATE.,CRUSH.,ERASE.,SMASH.,A,,Analogies,1,easy,"Combine and separate are opposites; the opposite of destroy is create.",
